,by,delivery_error,distance_btwn_cones_pix,isPair,lConeNeighbors,masterID1,masterID2,rg,session,subject,trial,type1,type2,x1,x2,y1,y2
36,0,0.269999023252116,0,False,0.666666666666667,16,16,0,40,10001R,37,2,2,74,74,100,100
37,0,0.172218632766802,12.2065556157337,True,0.5,16,42,-0.8,40,10001R,38,2,3,74,84,100,93
38,0,0.193366936175556,0,False,0.5,41,41,0,40,10001R,39,3,3,77,77,94,94
39,0,0.223091951592705,12.2065556157337,True,0.5,16,42,-1,40,10001R,40,2,3,74,84,100,93
40,0,0.248204040105479,6.70820393249937,True,0.555555555555556,41,16,0,40,10001R,41,3,2,77,74,94,100
41,0,0.201626093745491,0,False,0.5,41,41,-0.2,40,10001R,42,3,3,77,77,94,94
42,0,0.186351226455022,12.2065556157337,True,0.5,16,42,-1,40,10001R,43,2,3,74,84,100,93
43,,0.220141859746981,0,False,0.5,42,42,,40,10001R,44,3,3,84,84,93,93
44,0,1.26801184902367,0,False,0.5,41,41,0,40,10001R,45,3,3,77,77,94,94
45,,0.213892690968153,0,False,0.5,42,42,,40,10001R,46,3,3,84,84,93,93
46,0,0.226435099925558,12.2065556157337,True,0.5,16,42,-0.4,40,10001R,47,2,3,74,84,100,93
47,0,0.192481677458034,12.2065556157337,True,0.5,16,42,-1,40,10001R,48,2,3,74,84,100,93
48,0,0.176401068999135,12.2065556157337,True,0.5,16,42,0,40,10001R,49,2,3,74,84,100,93
49,0,0.205832601463297,0,False,0.5,42,42,0,40,10001R,50,3,3,84,84,93,93
50,0,0.216768760172414,7.07106781186548,True,0.5,41,42,-0.4,40,10001R,51,3,3,77,84,94,93
51,,0.165804628921069,0,False,0.5,42,42,,40,10001R,52,3,3,84,84,93,93
52,,0.195806953853256,0,False,0.666666666666667,16,16,,40,10001R,53,2,2,74,74,100,100
53,0,0.191562807386686,7.07106781186548,True,0.5,41,42,0,40,10001R,54,3,3,77,84,94,93
54,0,0.170054495045682,7.07106781186548,True,0.5,41,42,0,40,10001R,55,3,3,77,84,94,93
55,0,0.171989494933317,6.70820393249937,True,0.555555555555556,41,16,0,40,10001R,56,3,2,77,74,94,100
56,0,0.22412144656279,0,False,0.5,42,42,-1,40,10001R,57,3,3,84,84,93,93
57,0,0.234389254480395,6.70820393249937,True,0.555555555555556,41,16,-1,40,10001R,58,3,2,77,74,94,100
58,0,2.32246546034304,0,False,0.5,41,41,-0.2,40,10001R,59,3,3,77,77,94,94
59,,1.39674169167475,0,False,0.5,42,42,,40,10001R,60,3,3,84,84,93,93
60,0,0.16692999259193,0,False,0.666666666666667,16,16,-1,40,10001R,61,2,2,74,74,100,100
61,0,0.151165296749233,0,False,0.5,41,41,-1,40,10001R,62,3,3,77,77,94,94
62,,0.191476839043454,12.2065556157337,True,0.5,16,42,,40,10001R,63,2,3,74,84,100,93
63,0,0.183481921668649,6.70820393249937,True,0.555555555555556,41,16,0,40,10001R,64,3,2,77,74,94,100
64,0,0.208732221087562,0,False,0.5,41,41,0,40,10001R,65,3,3,77,77,94,94
65,0,0.154549098197666,0,False,0.5,41,41,0,40,10001R,66,3,3,77,77,94,94
66,0,0.206421029505149,12.2065556157337,True,0.5,16,42,-0.6,40,10001R,67,2,3,74,84,100,93
67,0,0.216209231542185,0,False,0.666666666666667,16,16,0,40,10001R,68,2,2,74,74,100,100
68,0,0.135144920927107,6.70820393249937,True,0.555555555555556,41,16,0,40,10001R,69,3,2,77,74,94,100
69,0,1.6974030217766,0,False,0.5,42,42,-1,40,10001R,70,3,3,84,84,93,93
70,0,0.191409359237458,7.07106781186548,True,0.5,41,42,-1,40,10001R,71,3,3,77,84,94,93
71,0,0.214170366147105,12.2065556157337,True,0.5,16,42,0,40,10001R,72,2,3,74,84,100,93
0,0,0.151610166627034,0,False,0.666666666666667,73,73,-1,41,10001R,1,2,2,49,49,96,96
1,,0.207220320360266,0,False,0.666666666666667,73,73,,41,10001R,2,2,2,49,49,96,96
2,0,0.165680625390287,0,False,0.166666666666667,74,74,0,41,10001R,3,3,3,54,54,101,101
3,0,0.198111190944076,7.07106781186548,True,0.4,73,74,0,41,10001R,4,2,3,49,54,96,101
4,0,0.171811054908418,0,False,0.666666666666667,73,73,-0.6,41,10001R,5,2,2,49,49,96,96
5,0,0.171564772113917,11.0453610171873,True,0.4,74,75,-1,41,10001R,6,3,1,54,65,101,102
6,,0.19694704871489,0,False,0.666666666666667,73,73,,41,10001R,7,2,2,49,49,96,96
7,,0.150207596548655,17.0880074906351,True,0.545454545454545,73,75,,41,10001R,8,2,1,49,65,96,102
8,,0.189007223174932,11.0453610171873,True,0.4,74,75,,41,10001R,9,3,1,54,65,101,102
9,0,0.224260498109215,7.07106781186548,True,0.4,73,74,-0.6,41,10001R,10,2,3,49,54,96,101
10,0,0.189323819148163,7.07106781186548,True,0.4,73,74,0,41,10001R,11,2,3,49,54,96,101
11,0,0.137283208427175,17.0880074906351,True,0.545454545454545,73,75,0,41,10001R,12,2,1,49,65,96,102
12,0,1.66882752953736,0,False,0.166666666666667,74,74,0,41,10001R,13,3,3,54,54,101,101
13,,1.7037778060146,0,False,0.666666666666667,73,73,,41,10001R,14,2,2,49,49,96,96
14,0,0.219216963501919,7.07106781186548,True,0.4,73,74,0,41,10001R,15,2,3,49,54,96,101
15,0,0.16232014919175,7.07106781186548,True,0.4,73,74,0,41,10001R,16,2,3,49,54,96,101
16,,0.151303381413413,17.0880074906351,True,0.545454545454545,73,75,,41,10001R,17,2,1,49,65,96,102
17,0,0.172719185476655,0,False,0.666666666666667,73,73,0,41,10001R,18,2,2,49,49,96,96
18,,0.148112266325682,17.0880074906351,True,0.545454545454545,73,75,,41,10001R,19,2,1,49,65,96,102
19,0,0.196648223904743,0,False,0.666666666666667,73,73,0,41,10001R,20,2,2,49,49,96,96
20,0,0.186789989081386,11.0453610171873,True,0.4,74,75,0,41,10001R,21,3,1,54,65,101,102
21,,0.170635599748407,17.0880074906351,True,0.545454545454545,73,75,,41,10001R,22,2,1,49,65,96,102
22,0,0.202835927417067,0,False,0.5,75,75,0,41,10001R,23,1,1,65,65,102,102
23,,0.150270923480023,0,False,0.5,75,75,,41,10001R,24,1,1,65,65,102,102
24,,0.18891657637722,17.0880074906351,True,0.545454545454545,73,75,,41,10001R,25,2,1,49,65,96,102
25,,0.175486067966908,17.0880074906351,True,0.545454545454545,73,75,,41,10001R,26,2,1,49,65,96,102
26,,0.173881968466522,0,False,0.666666666666667,73,73,,41,10001R,27,2,2,49,49,96,96
27,0,0.211320735385314,0,False,0.666666666666667,73,73,0,41,10001R,28,2,2,49,49,96,96
28,0,0.161538025866609,0,False,0.166666666666667,74,74,-0.8,41,10001R,29,3,3,54,54,101,101
29,,0.123906319702235,11.0453610171873,True,0.4,74,75,,41,10001R,30,3,1,54,65,101,102
30,,0.234820034937342,11.0453610171873,True,0.4,74,75,,41,10001R,31,3,1,54,65,101,102
31,,0.20908431765949,0,False,0.5,75,75,,41,10001R,32,1,1,65,65,102,102
32,0,0.156093833658893,0,False,0.166666666666667,74,74,-0.6,41,10001R,33,3,3,54,54,101,101
33,,0.245578981165932,0,False,0.5,75,75,,41,10001R,34,1,1,65,65,102,102
34,0,0.173158834346422,0,False,0.166666666666667,74,74,0,41,10001R,35,3,3,54,54,101,101
35,0,0.237285873233791,7.07106781186548,True,0.4,73,74,0,41,10001R,36,2,3,49,54,96,101
36,0,0.224115812851994,0,False,0.166666666666667,74,74,0,41,10001R,37,3,3,54,54,101,101
37,0,0.180103737845113,0,False,0.5,75,75,-0.4,41,10001R,38,1,1,65,65,102,102
38,0,0.182699787793993,7.07106781186548,True,0.4,73,74,0,41,10001R,39,2,3,49,54,96,101
39,,0.168550753058212,11.0453610171873,True,0.4,74,75,,41,10001R,40,3,1,54,65,101,102
40,,0.236532158260192,0,False,0.5,75,75,,41,10001R,41,1,1,65,65,102,102
41,0,0.224880137859954,7.07106781186548,True,0.4,73,74,-0.2,41,10001R,42,2,3,49,54,96,101
42,0,0.146663050436372,7.07106781186548,True,0.4,73,74,0,41,10001R,43,2,3,49,54,96,101
43,0,0.217756015633325,0,False,0.5,75,75,0,41,10001R,44,1,1,65,65,102,102
44,,0.161750455521819,11.0453610171873,True,0.4,74,75,,41,10001R,45,3,1,54,65,101,102
45,,0.158197033658267,11.0453610171873,True,0.4,74,75,,41,10001R,46,3,1,54,65,101,102
46,,0.151063414579046,11.0453610171873,True,0.4,74,75,,41,10001R,47,3,1,54,65,101,102
47,0,0.125985956438834,0,False,0.166666666666667,74,74,-0.6,41,10001R,48,3,3,54,54,101,101
48,0,0.17695518677202,0,False,0.666666666666667,73,73,0,41,10001R,49,2,2,49,49,96,96
49,,0.154634431689176,11.0453610171873,True,0.4,74,75,,41,10001R,50,3,1,54,65,101,102
